family_code,family_desc,sub_family_code,sub_family_desc,type_code,type_group_desc,type_desc,service_detail_code,complete_desc,service_desc,ippf_code
1,SRH - Family Planning,11,Temporary Methods - Hormonal,1249,Implants,Implants 1 rod,99,Contraceptives - Subdermal implants 1 rod - Other/Generic Services,Contraceptive Method - Generic Services,111124999
1,SRH - Family Planning,11,Temporary Methods - Hormonal,1300,Other hormonal methods,Total Other Hormonal,00,CONTRACEPTIVES - ALL OTHER HORMONAL METHODS,Control Account - Total,111130000
1,SRH - Family Planning,11,Temporary Methods - Hormonal,1309,Other hormonal methods,Total Other Hormonal,99,Contraceptives - Other hormonal methods - Other/Generic Services,Contraceptive Method - Generic Services,111130999
1,SRH - Family Planning,11,Temporary Methods - Hormonal,1320,Other hormonal methods,Transdermal Patch,00,CONTRACEPTIVES - OTHER - ALL TRANSDERMAL PATCH (1 month),Control Account - Total,111132000
1,SRH - Family Planning,11,Temporary Methods - Hormonal,1321,Other hormonal methods,Transdermal Patch,10,Contraceptives - Other methods - Transdermal Patch (1 month) - Initial Consultation,Contraceptive Method - Initial Consultation,111132110
1,SRH - Family Planning,11,Temporary Methods - Hormonal,1321,Other hormonal methods,Transdermal Patch,11,Contraceptives - Other methods - Transdermal Patch (1 month) - Follow up/Resupply,Contraceptive Method - Follow up/Resupply/Training,111132111
1,SRH - Family Planning,11,Temporary Methods - Hormonal,1321,Other hormonal methods,Transdermal Patch,19,Contraceptives - Other methods - Transdermal Patch (1 month) - Method Specific Counselling,Contraceptive Method - Method Specific Counselling,111132119
1,SRH - Family Planning,11,Temporary Methods - Hormonal,1329,Other hormonal methods,Transdermal Patch,99,Contraceptives - Other methods - Transdermal Patch (1 month) - Other/Generic Services,Contraceptive Method - Generic Services,111132999
1,SRH - Family Planning,11,Temporary Methods - Hormonal,1330,Other hormonal methods,Vaginal Ring,00,CONTRACEPTIVES - OTHER - ALL VAGINAL RING (1 month),Control Account - Total,111133000
1,SRH - Family Planning,11,Temporary Methods - Hormonal,1331,Other hormonal methods,Vaginal Ring,10,Contraceptives - Other methods - Vaginal Ring (1 month) - Initial Consultation,Contraceptive Method - Initial Consultation,111133110
1,SRH - Family Planning,11,Temporary Methods - Hormonal,1331,Other hormonal methods,Vaginal Ring,11,Contraceptives - Other methods - Vaginal Ring (1 month) - Follow up/Resupply,Contraceptive Method - Follow up/Resupply/Training,111133111
1,SRH - Family Planning,11,Temporary Methods - Hormonal,1331,Other hormonal methods,Vaginal Ring,19,Contraceptives - Other methods - Vaginal Ring (1 month) - Method Specific Counselling,Contraceptive Method - Method Specific Counselling,111133119
1,SRH - Family Planning,11,Temporary Methods - Hormonal,1339,Other hormonal methods,Vaginal Ring,99,Contraceptives - Other methods - Vaginal Ring (1 month) - Other/Generic Services,Contraceptive Method - Generic Services,111133999
1,SRH - Family Planning,12,Temporary Methods - Barrier,1400,Condoms,Total Condoms,00,CONTRACEPTIVES - ALL CONDOMS,Control Account - Total,112140000
1,SRH - Family Planning,12,Temporary Methods - Barrier,1409,Condoms,Total Condoms,99,Contraceptives - Condoms (Male and Female) - Other/Generic Services,Contraceptive Method - Generic Services,112140999
1,SRH - Family Planning,12,Temporary Methods - Barrier,1410,Condoms,Male condoms,00,CONTRACEPTIVES - ALL MALE CONDOMS,,112141000
1,SRH - Family Planning,12,Temporary Methods - Barrier,1411,Condoms,Male condoms,10,Contraceptives - Condoms - Male Condom - Initial Consultation,Contraceptive Method - Initial Consultation,112141110
1,SRH - Family Planning,12,Temporary Methods - Barrier,1411,Condoms,Male condoms,11,Contraceptives - Condoms - Male Condom - Follow up/Resupply,Contraceptive Method - Follow up/Resupply/Training,112141111
1,SRH - Family Planning,12,Temporary Methods - Barrier,1411,Condoms,Male condoms,19,Contraceptives - Condoms - Male Condom - Method Specific Counselling,Contraceptive Method - Method Specific Counselling,112141119
1,SRH - Family Planning,12,Temporary Methods - Barrier,1419,Condoms,Male condoms,99,Contraceptives - Condoms - Male Condom - Other/Generic Services,Contraceptive Method - Generic Services,112141999
1,SRH - Family Planning,12,Temporary Methods - Barrier,1420,Condoms,Female condoms,00,CONTRACEPTIVES - ALL FEMALE CONDOMS,,112142000
1,SRH - Family Planning,12,Temporary Methods - Barrier,1421,Condoms,Female condoms,10,Contraceptives - Condoms - Female Condom - Initial Consultation,Contraceptive Method - Initial Consultation,112142110
1,SRH - Family Planning,12,Temporary Methods - Barrier,1421,Condoms,Female condoms,11,Contraceptives - Condoms - Female Condom - Follow up/Resupply,Contraceptive Method - Follow up/Resupply/Training,112142111
1,SRH - Family Planning,12,Temporary Methods - Barrier,1421,Condoms,Female condoms,19,Contraceptives - Condoms - Female Condom - Method Specific Counselling,Contraceptive Method - Method Specific Counselling,112142119
1,SRH - Family Planning,12,Temporary Methods - Barrier,1429,Condoms,Female condoms,99,Contraceptives - Condoms - Female Condom - Other/Generic Services,Contraceptive Method - Generic Services,112142999
1,SRH - Family Planning,12,Temporary Methods - Barrier,1500,Other barrier methods,Total Diaphragm/Caps,00,CONTRACEPTIVES - ALL TYPES OF DIAPHRAGMS / CERVICAL CAPS,Control Account - Total,112150000
1,SRH - Family Planning,12,Temporary Methods - Barrier,1501,Other barrier methods,Total Diaphragm/Caps,19,Contraceptives - Diaphragm / Cervical Cap - Method Specific Counselling,Contraceptive Method - Method Specific Counselling,112150119
1,SRH - Family Planning,12,Temporary Methods - Barrier,1509,Other barrier methods,Total Diaphragm/Caps,99,Contraceptives - Diaphragm / Cervical Cap - Other/Generic Services,Contraceptive Method - Generic Services,112150999
1,SRH - Family Planning,12,Temporary Methods - Barrier,1510,Other barrier methods,Diapraghms,00,CONTRACEPTIVES - ALL DIAPHRAGMS,Control Account - Total,112151000
1,SRH - Family Planning,12,Temporary Methods - Barrier,1511,Other barrier methods,Diapraghms,10,Contraceptives - Diaphragm - Initial Consultation,Contraceptive Method - Initial Consultation,112151110
1,SRH - Family Planning,12,Temporary Methods - Barrier,1511,Other barrier methods,Diapraghms,11,Contraceptives - Diaphragm - Follow up/Resupply,Contraceptive Method - Follow up/Resupply/Training,112151111
1,SRH - Family Planning,12,Temporary Methods - Barrier,1519,Other barrier methods,Diapraghms,99,Contraceptives - Diaphragm - Other/Generic Services,Contraceptive Method - Generic Services,112151999
1,SRH - Family Planning,12,Temporary Methods - Barrier,1520,Other barrier methods,Caps,00,CONTRACEPTIVES - ALL CERVICAL CAPS,Control Account - Total,112152000
1,SRH - Family Planning,12,Temporary Methods - Barrier,1521,Other barrier methods,Caps,10,Contraceptives - Cervical Cap - Initial Consultation,Contraceptive Method - Initial Consultation,112152110
1,SRH - Family Planning,12,Temporary Methods - Barrier,1521,Other barrier methods,Caps,11,Contraceptives - Cervical Cap - Follow up/Resupply,Contraceptive Method - Follow up/Resupply/Training,112152111
1,SRH - Family Planning,12,Temporary Methods - Barrier,1529,Other barrier methods,Caps,99,Contraceptives - Cervical Cap - Other/Generic Services,Contraceptive Method - Generic Services,112152999
1,SRH - Family Planning,12,Temporary Methods - Barrier,1600,Spermicides,Total Spermicides,00,CONTRACEPTIVES - ALL SPERMICIDES,Control Account - Total,112160000
1,SRH - Family Planning,12,Temporary Methods - Barrier,1601,Spermicides,Total Spermicides,19,Contraceptives - Spermicides - Method Specific Counselling,Contraceptive Method - Method Specific Counselling,112160119
1,SRH - Family Planning,12,Temporary Methods - Barrier,1609,Spermicides,Total Spermicides,99,Contraceptives - Spermicides - Other/Generic Services,Contraceptive Method - Generic Services,112160999
1,SRH - Family Planning,12,Temporary Methods - Barrier,1610,Spermicides,Foams Tabs,00,CONTRACEPTIVES - SPERMICIDES - ALL FOAM TABS/TUBE/SUPPOSITIORIES,Control Account - Total,112161000
1,SRH - Family Planning,12,Temporary Methods - Barrier,1611,Spermicides,Foams Tabs,10,Contraceptives - Spermicides - Foam Tabs/Tube/Suppositories - Initial Consultation,Contraceptive Method - Initial Consultation,112161110
1,SRH - Family Planning,12,Temporary Methods - Barrier,1611,Spermicides,Foams Tabs,11,Contraceptives - Spermicides - Foam Tabs/Tube/Suppositories - Follow up/Resupply,Contraceptive Method - Follow up/Resupply/Training,112161111
1,SRH - Family Planning,12,Temporary Methods - Barrier,1619,Spermicides,Foams Tabs,99,Contraceptives - Spermicides - Foam Tabs/Tube/Suppositories - Other/Generic Services,Contraceptive Method - Generic Services,112161999
1,SRH - Family Planning,12,Temporary Methods - Barrier,1620,Spermicides,Foam Strips,00,CONTRACEPTIVES - SPERMICIDES - ALL FOAM TAB/STRIPS,Control Account - Total,112162000
1,SRH - Family Planning,12,Temporary Methods - Barrier,1621,Spermicides,Foam Strips,10,Contraceptives - Spermicides - Foam Tabs/Strip - Initial Consultation,Contraceptive Method - Initial Consultation,112162110
1,SRH - Family Planning,12,Temporary Methods - Barrier,1621,Spermicides,Foam Strips,11,Contraceptives - Spermicides - Foam Tabs/Strip - Follow up/Resupply,Contraceptive Method - Follow up/Resupply/Training,112162111
1,SRH - Family Planning,12,Temporary Methods - Barrier,1629,Spermicides,Foam Strips,99,Contraceptives - Spermicides - Foam Tabs/Strip - Other/Generic Services,Contraceptive Method - Generic Services,112162999
1,SRH - Family Planning,12,Temporary Methods - Barrier,1630,Spermicides,Foam Cans,00,CONTRACEPTIVES - SPERMICIDES - ALL FOAM CANS,Control Account - Total,112163000
1,SRH - Family Planning,12,Temporary Methods - Barrier,1631,Spermicides,Foam Cans,10,Contraceptives - Spermicides - Foam Cans - Initial Consultation,Contraceptive Method - Initial Consultation,112163110
1,SRH - Family Planning,12,Temporary Methods - Barrier,1631,Spermicides,Foam Cans,11,Contraceptives - Spermicides - Foam Cans - Follow up/Resupply,Contraceptive Method - Follow up/Resupply/Training,112163111
1,SRH - Family Planning,12,Temporary Methods - Barrier,1639,Spermicides,Foam Cans,99,Contraceptives - Spermicides - Foam Cans - Other/Generic Services,Contraceptive Method - Generic Services,112163999
1,SRH - Family Planning,12,Temporary Methods - Barrier,1640,Spermicides,Creams & Jellies,00,CONTRACEPTIVES - SPERMICIDES - ALL CREAM & JELLY,Control Account - Total,112164000
1,SRH - Family Planning,12,Temporary Methods - Barrier,1641,Spermicides,Creams & Jellies,10,Contraceptives - Spermicides - Cream & Jelly - Initial Consultation,Contraceptive Method - Initial Consultation,112164110
1,SRH - Family Planning,12,Temporary Methods - Barrier,1641,Spermicides,Creams & Jellies,11,Contraceptives - Spermicides - Cream & Jelly - Follow up/Resupply,Contraceptive Method - Follow up/Resupply/Training,112164111
1,SRH - Family Planning,12,Temporary Methods - Barrier,1649,Spermicides,Creams & Jellies,99,Contraceptives - Spermicides - Cream & Jelly - Other/Generic Services,Contraceptive Method - Generic Services,112164999
1,SRH - Family Planning,12,Temporary Methods - Barrier,1650,Spermicides,Pessaries - Film,00,CONTRACEPTIVES - SPERMICIDES - ALL PESSARIES / C-FILM,Control Account - Total,112165000
1,SRH - Family Planning,12,Temporary Methods - Barrier,1651,Spermicides,Pessaries - Film,10,Contraceptives - Spermicides - Pessaries / C-film - Initial Consultation,Contraceptive Method - Initial Consultation,112165110
1,SRH - Family Planning,12,Temporary Methods - Barrier,1651,Spermicides,Pessaries - Film,11,Contraceptives - Spermicides - Pessaries / C-film - Follow up/Resupply,Contraceptive Method - Follow up/Resupply/Training,112165111
1,SRH - Family Planning,12,Temporary Methods - Barrier,1659,Spermicides,Pessaries - Film,99,Contraceptives - Spermicides - Pessaries / C-film - Other/Generic Services,Contraceptive Method - Generic Services,112165999
1,SRH - Family Planning,13,Temporary Methods - IUD,1700,IUD,Total IUD,00,CONTRACEPTIVES - ALL IUD,Control Account - Total,113170000
1,SRH - Family Planning,13,Temporary Methods - IUD,1701,IUD,Total IUD,12,Contraceptives - IUD - Removal,Contraceptive Method - Termination/Removal/Reversal,113170112
1,SRH - Family Planning,13,Temporary Methods - IUD,1701,IUD,Total IUD,19,Contraceptives - IUD - Method Specific Counselling,Contraceptive Method - Method Specific Counselling,113170119
1,SRH - Family Planning,13,Temporary Methods - IUD,1709,IUD,Total IUD,99,Contraceptives - IUD - Other/Generic Services,Contraceptive Method - Generic Services,113170999
1,SRH - Family Planning,13,Temporary Methods - IUD,1710,IUD,IUD Hormone 5 yr,00,CONTRACEPTIVES - ALL IUD Hormone releasing IUD (5 years),Control Account - Total,113171000
1,SRH - Family Planning,13,Temporary Methods - IUD,1711,IUD,IUD Hormone 5 yr,10,Contraceptives - IUD - Hormone releasing IUD (5 years) - Initial Consultation/Insertion,Contraceptive Method - Initial Consultation,113171110
1,SRH - Family Planning,13,Temporary Methods - IUD,1711,IUD,IUD Hormone 5 yr,11,Contraceptives - IUD - Hormone releasing IUD (5 years) - Follow up/Reinsertion,Contraceptive Method - Follow up/Resupply/Training,113171111
1,SRH - Family Planning,13,Temporary Methods - IUD,1719,IUD,IUD Hormone 5 yr,99,Contraceptives - IUD - Hormone releasing IUD (5 years) - Other/Generic Services,Contraceptive Method - Generic Services,113171999
1,SRH - Family Planning,13,Temporary Methods - IUD,1720,IUD,IUD Copper 10 yr,00,CONTRACEPTIVES - ALL IUD Copper releasing IUD (10 years),Control Account - Total,113172000
1,SRH - Family Planning,13,Temporary Methods - IUD,1721,IUD,IUD Copper 10 yr,10,Contraceptives - IUD - Copper releasing IUD (10 years) - Initial Consultation/Insertion,Contraceptive Method - Initial Consultation,113172110
1,SRH - Family Planning,13,Temporary Methods - IUD,1721,IUD,IUD Copper 10 yr,11,Contraceptives - IUD - Copper releasing IUD (10 years) - Follow up/Reinsertion,Contraceptive Method - Follow up/Resupply/Training,113172111
1,SRH - Family Planning,13,Temporary Methods - IUD,1729,IUD,IUD Copper 10 yr,99,Contraceptives - IUD - Copper releasing IUD (10 years) - Other/Generic Services,Contraceptive Method - Generic Services,113172999
1,SRH - Family Planning,20,Permanent Methods,1800,Voluntary Surgical Contraception,Total VSC,00,CONTRACEPTION - ALL VOLUNTARY SURGICAL CONTRACEPTION (VSC),Control Account - Total,120180000
1,SRH - Family Planning,20,Permanent Methods,1809,Voluntary Surgical Contraception,Total VSC,99,Contraception - Voluntary Surgical Contraception (VSC) - Other/Generic Services,Contraceptive Method - Generic Services,120180999
1,SRH - Family Planning,21,Permanent Methods - Female,1810,Voluntary Surgical Contraception,Female VSC,00,CONTRACEPTION - ALL FEMALE VOLUNTARY SURGICAL CONTRACEPTION (FVSC),Control Account - Total,121181000
1,SRH - Family Planning,21,Permanent Methods - Female,1811,Voluntary Surgical Contraception,Female VSC,12,Contraception Surgical - Female VSC - Reversal,Contraceptive Method - Termination/Removal/Reversal,121181112
1,SRH - Family Planning,21,Permanent Methods - Female,1811,Voluntary Surgical Contraception,Female VSC,19,Contraception Surgical - Female VSC - Method Specific Counselling,Contraceptive Method - Method Specific Counselling,121181119
1,SRH - Family Planning,21,Permanent Methods - Female,1812,Voluntary Surgical Contraception,Female VSC,13,Contraception Surgical - Female VSC - Minilaparatomy - Contraceptive Surgery,Contraceptive Surgery,121181213
1,SRH - Family Planning,21,Permanent Methods - Female,1812,Voluntary Surgical Contraception,Female VSC,11,Contraception Surgical - Female VSC - Minilaparatomy - Follow up,Contraceptive Method - Follow up/Resupply/Training,121181211
1,SRH - Family Planning,21,Permanent Methods - Female,1813,Voluntary Surgical Contraception,Female VSC,13,Contraception Surgical - Female VSC - Laparoscopy - Contraceptive Surgery,Contraceptive Surgery,121181313
1,SRH - Family Planning,21,Permanent Methods - Female,1813,Voluntary Surgical Contraception,Female VSC,11,Contraception Surgical - Female VSC - Laparoscopy - Follow up,Contraceptive Method - Follow up/Resupply/Training,121181311
1,SRH - Family Planning,21,Permanent Methods - Female,1814,Voluntary Surgical Contraception,Female VSC,13,Contraception Surgical - Female VSC - Laparotomy - Contraceptive Surgery,Contraceptive Surgery,121181413
1,SRH - Family Planning,21,Permanent Methods - Female,1814,Voluntary Surgical Contraception,Female VSC,11,Contraception Surgical - Female VSC - Laparotomy - Follow up,Contraceptive Method - Follow up/Resupply/Training,121181411
1,SRH - Family Planning,21,Permanent Methods - Female,1819,Voluntary Surgical Contraception,Female VSC,99,Contraception Surgical - Female VSC - Other/Generic Services,Contraceptive Method - Generic Services,121181999
1,SRH - Family Planning,22,Permanent Methods - Male,1820,Voluntary Surgical Contraception,Male VSC,00,CONTRACEPTION - ALL MALE VOLUNTARY SURGICAL CONTRACEPTION (MVSC),Control Account - Total,122182000
1,SRH - Family Planning,22,Permanent Methods - Male,1821,Voluntary Surgical Contraception,Male VSC,12,Contraception Surgical - Male VSC - Reversal,Contraceptive Method - Termination/Removal/Reversal,122182112
1,SRH - Family Planning,22,Permanent Methods - Male,1821,Voluntary Surgical Contraception,Male VSC,19,Contraception Surgical - Male VSC - Method Specific Counselling,Contraceptive Method - Method Specific Counselling,122182119
1,SRH - Family Planning,22,Permanent Methods - Male,1822,Voluntary Surgical Contraception,Male VSC,13,Contraception Surgical - Male VSC - Incisional vasectomy - Contraceptive Surgery,Contraceptive Surgery,122182213
1,SRH - Family Planning,22,Permanent Methods - Male,1822,Voluntary Surgical Contraception,Male VSC,11,Contraception Surgical - Male VSC - Incisional vasectomy - Follow up (Sperm count),Contraceptive Method - Follow up/Resupply/Training,122182211
1,SRH - Family Planning,22,Permanent Methods - Male,1823,Voluntary Surgical Contraception,Male VSC,13,Contraception Surgical - Male VSC - No-scalpel Vasectomy - Contraceptive Surgery,Contraceptive Surgery,122182313
1,SRH - Family Planning,22,Permanent Methods - Male,1823,Voluntary Surgical Contraception,Male VSC,11,Contraception Surgical - Male VSC - No-scalpel Vasectomy - Follow up  (Sperm count),Contraceptive Method - Follow up/Resupply/Training,122182311
1,SRH - Family Planning,22,Permanent Methods - Male,1829,Voluntary Surgical Contraception,Male VSC,99,Contraception Surgical - Male VSC - Other/Generic Services,Contraceptive Method - Generic Services,122182999
1,SRH - Family Planning,30,Fertility awareness-based methods,1900,Awareness-Based Methods,Total ABM (natural),00,CONTRACEPTION - ALL AWARENESS-BASED METHODS,Control Account - Total,130190000
1,SRH - Family Planning,30,Fertility awareness-based methods,1909,Awareness-Based Methods,Total ABM (natural),99,Contraception -  Awareness-Based Methods - Other/Generic Services,Contraceptive Method - Generic Services,130190999
1,SRH - Family Planning,31,Fertility awareness-based methods,1910,Awareness-Based Methods,Total FABM,00,CONTRACEPTION - ALL FERTILITY AWARENESS-BASED METHODS (FABM),Control Account - Total,131191000
1,SRH - Family Planning,31,Fertility awareness-based methods,1911,Awareness-Based Methods,Total FABM,19,Contraception FAB Methods - Method Specific Counselling,Contraceptive Method - Method Specific Counselling,131191119
1,SRH - Family Planning,31,Fertility awareness-based methods,1912,Awareness-Based Methods,FABM - CMM,10,Contraception FAB Methods - Cervical Mucous Method (CMM) - Initial Consultation/Training,Contraceptive Method - Initial Consultation,131191210
1,SRH - Family Planning,31,Fertility awareness-based methods,1912,Awareness-Based Methods,FABM - CMM,11,Contraception FAB Methods - Cervical Mucous Method (CMM) - Follow up/Training,Contraceptive Method - Follow up/Resupply/Training,131191211
1,SRH - Family Planning,31,Fertility awareness-based methods,1913,Awareness-Based Methods,FABM - CBM,10,Contraception FAB Methods - Calendar Based Method (CBM) - Initial Consultation/Training,Contraceptive Method - Initial Consultation,131191310
1,SRH - Family Planning,31,Fertility awareness-based methods,1913,Awareness-Based Methods,FABM - CBM,11,Contraception FAB Methods - Calendar Based Method (CBM) - Follow up/Training,Contraceptive Method - Follow up/Resupply/Training,131191311
1,SRH - Family Planning,31,Fertility awareness-based methods,1914,Awareness-Based Methods,FABM - STM,10,Contraception FAB Methods - Sympto-thermal method - Initial Consultation/Training,Contraceptive Method - Initial Consultation,131191410
1,SRH - Family Planning,31,Fertility awareness-based methods,1914,Awareness-Based Methods,FABM - STM,11,Contraception FAB Methods - Sympto-thermal method - Follow up/Training,Contraceptive Method - Follow up/Resupply/Training,131191411
1,SRH - Family Planning,31,Fertility awareness-based methods,1915,Awareness-Based Methods,FABM - SDM,10,Contraception FAB Methods - Standard days method - Initial Consultation/Training,Contraceptive Method - Initial Consultation,131191510
1,SRH - Family Planning,31,Fertility awareness-based methods,1915,Awareness-Based Methods,FABM - SDM,11,Contraception FAB Methods - Standard days method - Follow up/Training,Contraceptive Method - Follow up/Resupply/Training,131191511
